lon,lat,X,Y,offset,error,fzw
95.9956106411697,21.487904865422,1434659.457825,2403177.443418,2.630181,0.104297,19620
95.9979984786681,21.4708538404619,1435019.500597,2401287.500577,2.569937,0.130284,19620
96.0003865306761,21.4538029850156,1435379.54337,2399397.557736,2.884081,0.191582,18000
96.0001514980368,21.4360887413381,1435469.554063,2397417.617617,2.676706,0.235116,21330
96.0008247743774,21.4191311035445,1435649.575449,2395527.674776,2.565637,0.210939,28350
96.0014986784668,21.4021735267375,1435829.596835,2393637.731935,2.471499,0.187715,13860
96.0030307868559,21.3851696045619,1436099.628914,2391747.789094,3.314436,0.217968,17370
96.0037058461763,21.3682121814572,1436279.6503,2389857.846253,3.732031,0.136733,14310
96.0043320704424,21.3504517413417,1436459.671686,2387877.906134,3.914044,0.175283,12420
96.0050084252168,21.3334944405991,1436639.693072,2385987.963293,3.900785,0.184388,20610
