time(s),strike_slip(m),strike_slip_error(m),dip_slip(m),dip_slip_error(m),strike_slip_velocity(m/s)
13.375,0.0711567641494104,0.86,0.006225410196261298,0.479,0.7058823529411766
13.416666666666666,0.0,0.86,0.0,0.479,0.5294117647058825
13.458333333333332,0.0,0.86,0.0,0.544,-0.17647058823529416
13.5,0.0773821743456717,0.86,-0.0649313539531491,0.479,-0.3529411764705883
13.541666666666666,0.0,0.9146,0.0,0.479,-0.3529411764705883
13.583333333333332,-0.0711567641494104,0.8716,-0.006225410196261298,0.479,-0.7058823529411766
13.625,0.0,0.814,0.0,0.479,-0.5294117647058825
13.666666666666666,-0.1423135282988208,0.8716,-0.012450820392522596,0.544,-0.3529411764705883
13.708333333333332,-0.0711567641494104,0.9146,-0.006225410196261298,0.479,-0.5294117647058825
13.75,-0.0711567641494104,0.9146,-0.006225410196261298,0.515,-0.17647058823529416
13.791666666666666,-0.1485389384950821,0.9146,0.058705943756887806,0.544,0.17647058823529416
13.833333333333332,-0.1485389384950821,0.9146,0.058705943756887806,0.479,0.0
13.875,-0.0711567641494104,0.86,-0.006225410196261298,0.479,0.17647058823529416
13.916666666666666,-0.0711567641494104,0.86,-0.006225410196261298,0.544,0.7058823529411766
13.958333333333332,-0.0711567641494104,0.86,-0.006225410196261298,0.544,1.058823529411765
14.0,-0.0711567641494104,0.9146,-0.006225410196261298,0.6104,1.0588235294117647
14.041666666666666,0.0711567641494104,0.814,0.006225410196261298,0.544,1.2352941176470589
14.083333333333332,0.1547643486913434,0.8716,-0.1298627079062982,0.6104,1.4117647058823533
14.125,0.1485389384950821,0.814,-0.058705943756887806,0.6104,1.058823529411765
14.166666666666666,0.2259211128407538,0.773,-0.12363729771003691,0.7036,1.058823529411765
14.208333333333332,0.2259211128407538,0.814,-0.12363729771003691,0.7456,1.7647058823529411
14.25,0.2259211128407538,0.814,-0.12363729771003691,0.639,1.7647058823529411
14.291666666666666,0.4456168154852463,0.773,-0.17611783127066344,0.7456,1.7647058823529411
14.333333333333332,0.587930343784067,0.8716,-0.16366701087814084,0.6772,2.1176470588235294
14.375,0.5167735796346566,0.814,-0.16989242107440214,0.7456,1.9411764705882355
14.416666666666666,0.6653125181297387,0.8716,-0.22859836483128992,0.7456,1.7647058823529416
14.458333333333332,0.6653125181297387,1.01,-0.22859836483128992,0.7456,2.294117647058824
14.5,0.8076260464285595,0.9146,-0.2161475444387673,0.6104,2.6470588235294126
14.541666666666666,0.9499395747273803,0.8716,-0.2036967240462447,0.544,2.6470588235294117
14.583333333333332,1.0984785132224624,0.814,-0.2624026678031325,0.6104,3.1764705882352944
14.625,1.1696352773718728,0.773,-0.2561772576068712,0.544,3.3529411764705883
14.666666666666666,1.2407920415212832,0.86,-0.2499518474106099,0.3572,3.0
14.708333333333332,1.5254190981189246,0.961,-0.22505020662556469,0.3572,2.8235294117647065
14.75,1.6028012724645964,0.833,-0.2899815605787138,0.3572,2.8235294117647065
14.791666666666666,1.6677326264177454,0.86,-0.21259938623304214,0.3572,2.4705882352941178
14.833333333333332,1.738889390567156,0.8716,-0.20637397603678082,0.3572,2.1176470588235294
14.875,1.8100461547165665,0.7983,-0.20014856584051952,0.3572,2.1176470588235294
14.916666666666666,1.9585850932116486,0.8716,-0.25885450959740736,0.3572,2.1176470588235294
14.958333333333332,2.0235164471647975,0.8716,-0.18147233525173562,0.3572,2.11764705882353
15.0,2.094673211314208,0.8716,-0.17524692505547432,0.4165,1.9411764705882355
15.041666666666666,2.17205538565988,0.833,-0.24017827900862349,0.3572,1.7647058823529416
15.083333333333332,2.236986739613029,0.833,-0.16279610466295175,0.3572,1.7647058823529416
15.125,2.3081435037624396,0.8716,-0.15657069446669045,0.4165,1.5882352941176472
15.166666666666666,2.3793002679118502,0.8716,-0.15034528427042915,0.4165,1.235294117647059
15.208333333333332,2.45045703206126,0.814,-0.14411987407416785,0.4165,1.058823529411765
15.25,2.45045703206126,0.9146,-0.14411987407416785,0.4165,0.8823529411764708
15.291666666666666,2.45045703206126,0.9146,-0.14411987407416785,0.4165,0.7058823529411766
15.333333333333332,2.5278392064069317,0.86,-0.209051228027317,0.4165,0.5294117647058825
15.375,2.5216137962106706,0.9146,-0.13789446387790655,0.4573,0.3529411764705883
15.416666666666666,2.598995970556342,0.9146,-0.20282581783105572,0.3572,0.17647058823529416
15.458333333333332,2.5216137962106706,0.9146,-0.13789446387790655,0.3572,0.17647058823529416
15.5,2.5216137962106706,0.86,-0.13789446387790655,0.3572,0.3529411764705883
15.541666666666666,2.5216137962106706,0.86,-0.13789446387790655,0.4165,0.5294117647058825
15.583333333333332,2.592770560360081,0.86,-0.13166905368164525,0.404,0.5294117647058825
15.625,2.6639273245094914,0.86,-0.12544364348538398,0.3572,0.3529411764705883
15.666666666666666,2.6639273245094914,0.9146,-0.12544364348538398,0.3572,0.3529411764705883
15.708333333333332,2.592770560360081,0.8716,-0.13166905368164525,0.3572,0.0
15.75,2.592770560360081,0.833,-0.13166905368164525,0.3572,-0.3529411764705883
15.791666666666666,2.6639273245094914,0.833,-0.12544364348538398,0.4165,0.0
15.833333333333332,2.592770560360081,0.773,-0.13166905368164525,0.3572,0.3529411764705883
15.875,2.592770560360081,0.773,-0.13166905368164525,0.3572,0.0
15.916666666666666,2.6701527347057525,0.8716,-0.19660040763479442,0.3572,-0.17647058823529416
15.958333333333332,2.6701527347057525,0.814,-0.19660040763479442,0.3572,0.0
16.0,2.592770560360081,0.773,-0.13166905368164525,0.3572,-0.17647058823529416
16.041666666666664,2.592770560360081,0.773,-0.13166905368164525,0.3572,-0.17647058823529416
16.083333333333332,2.592770560360081,0.773,-0.13166905368164525,0.3572,0.17647058823529416
16.125,2.598995970556342,0.773,-0.20282581783105572,0.4165,0.17647058823529416
16.166666666666664,2.6701527347057525,0.833,-0.19660040763479442,0.3572,0.17647058823529416
16.208333333333332,2.6701527347057525,0.833,-0.19660040763479442,0.3572,0.17647058823529416
16.25,2.592770560360081,0.833,-0.13166905368164525,0.3572,-0.17647058823529416
16.291666666666664,2.6639273245094914,0.773,-0.12544364348538398,0.3572,-0.17647058823529416
16.333333333333332,2.592770560360081,0.9146,-0.13166905368164525,0.3572,0.0
16.375,2.592770560360081,0.814,-0.13166905368164525,0.3572,-0.17647058823529416
16.416666666666664,2.6701527347057525,0.833,-0.19660040763479442,0.3572,-0.3529411764705883
16.458333333333332,2.592770560360081,0.833,-0.13166905368164525,0.4573,-0.3529411764705883
16.5,2.598995970556342,0.833,-0.20282581783105572,0.4165,-0.3529411764705883
16.541666666666664,2.5278392064069317,0.833,-0.209051228027317,0.4165,-0.3529411764705883
16.583333333333332,2.5216137962106706,0.8716,-0.13789446387790655,0.4165,-0.3529411764705883
16.625,2.592770560360081,0.773,-0.13166905368164525,0.3572,-0.17647058823529416
16.666666666666664,2.5278392064069317,0.7354,-0.209051228027317,0.3572,0.17647058823529416
16.708333333333332,2.5216137962106706,0.773,-0.13789446387790655,0.4165,0.17647058823529416
16.75,2.5278392064069317,0.7983,-0.209051228027317,0.3572,0.3529411764705883
16.791666666666664,2.598995970556342,0.773,-0.20282581783105572,0.4573,0.5294117647058825
16.833333333333332,2.598995970556342,0.7983,-0.20282581783105572,0.404,0.17647058823529416
16.875,2.676378144902014,0.7695,-0.2677571717842048,0.3572,0.0
16.916666666666664,2.598995970556342,0.7983,-0.20282581783105572,0.4165,0.0
16.958333333333332,2.5278392064069317,0.7983,-0.209051228027317,0.3572,-0.17647058823529416
17.0,2.6052213807526035,0.8716,-0.2739825819804661,0.4165,-0.17647058823529416
17.041666666666664,2.598995970556342,0.814,-0.20282581783105572,0.3572,0.0
17.083333333333332,2.598995970556342,0.7354,-0.20282581783105572,0.404,-0.3529411764705883
17.125,2.598995970556342,0.7354,-0.20282581783105572,0.3572,-0.5294117647058825
17.166666666666664,2.5278392064069317,0.7695,-0.209051228027317,0.4165,-0.3529411764705883
17.208333333333332,2.456682442257521,0.9146,-0.2152766382235783,0.3572,0.0
17.25,2.5278392064069317,0.9146,-0.209051228027317,0.3572,0.3529411764705883
17.291666666666664,2.5278392064069317,0.9146,-0.209051228027317,0.3572,0.5294117647058825
17.333333333333332,2.6701527347057525,0.7354,-0.19660040763479442,0.3572,0.5294117647058825
17.375,2.598995970556342,0.7354,-0.20282581783105572,0.404,0.3529411764705883
17.416666666666664,2.598995970556342,0.773,-0.20282581783105572,0.404,0.17647058823529416
17.458333333333332,2.598995970556342,0.8716,-0.20282581783105572,0.4165,0.17647058823529416
17.5,2.598995970556342,0.9146,-0.20282581783105572,0.4165,0.0
17.541666666666664,2.6701527347057525,0.8716,-0.19660040763479442,0.4165,-0.3529411764705883
17.583333333333332,2.6701527347057525,0.7983,-0.19660040763479442,0.404,-0.3529411764705883
17.625,2.5216137962106706,0.7983,-0.13789446387790655,0.4165,-0.3529411764705883
17.666666666666664,2.5278392064069317,0.773,-0.209051228027317,0.4165,-0.3529411764705883
17.708333333333332,2.5216137962106706,0.8716,-0.13789446387790655,0.4165,-0.17647058823529416
17.75,2.598995970556342,0.8716,-0.20282581783105572,0.3572,0.3529411764705883
17.791666666666664,2.598995970556342,0.7354,-0.20282581783105572,0.3572,0.5294117647058825
17.833333333333332,2.5278392064069317,0.7354,-0.209051228027317,0.3572,0.17647058823529416
17.875,2.6701527347057525,0.773,-0.19660040763479442,0.4165,0.0
17.916666666666664,2.6052213807526035,0.7983,-0.2739825819804661,0.4165,0.17647058823529416
17.958333333333332,2.6052213807526035,0.833,-0.2739825819804661,0.3572,-0.17647058823529416
18.0,2.598995970556342,0.7983,-0.20282581783105572,0.3572,-0.3529411764705883
18.041666666666664,2.6052213807526035,0.7695,-0.2739825819804661,0.3572,0.0
18.083333333333332,2.5278392064069317,0.7354,-0.209051228027317,0.3572,0.17647058823529416
18.125,2.598995970556342,0.833,-0.20282581783105572,0.4165,0.17647058823529416
18.166666666666664,2.598995970556342,0.8716,-0.20282581783105572,0.3572,0.0
18.208333333333332,2.676378144902014,0.773,-0.2677571717842048,0.3572,0.0
18.25,2.598995970556342,0.7354,-0.20282581783105572,0.3572,-0.17647058823529416
18.291666666666664,2.5278392064069317,0.7354,-0.209051228027317,0.3572,-0.5294117647058825
18.333333333333332,2.598995970556342,0.7983,-0.20282581783105572,0.4165,-0.3529411764705883
18.375,2.5278392064069317,0.833,-0.209051228027317,0.3572,0.3529411764705883
18.416666666666664,2.5278392064069317,0.7983,-0.209051228027317,0.3572,0.3529411764705883
18.458333333333332,2.598995970556342,0.7354,-0.20282581783105572,0.3572,0.17647058823529416
18.5,2.676378144902014,0.7354,-0.2677571717842048,0.3572,0.3529411764705883
18.541666666666664,2.598995970556342,0.7983,-0.20282581783105572,0.3572,0.17647058823529416
18.583333333333332,2.598995970556342,0.773,-0.20282581783105572,0.4165,-0.17647058823529416
18.625,2.598995970556342,0.833,-0.20282581783105572,0.3572,-0.17647058823529416
18.666666666666664,2.598995970556342,0.7036,-0.20282581783105572,0.3572,0.0
18.708333333333332,2.598995970556342,0.7354,-0.20282581783105572,0.4165,0.0
18.75,2.598995970556342,0.773,-0.20282581783105572,0.3572,0.0
18.791666666666664,2.598995970556342,0.7354,-0.20282581783105572,0.3572,0.0
18.833333333333332,2.598995970556342,0.895,-0.20282581783105572,0.3572,0.0
18.875,2.6052213807526035,0.7354,-0.2739825819804661,0.4165,0.0
18.916666666666664,2.598995970556342,0.7036,-0.20282581783105572,0.3572,-0.17647058823529416
18.958333333333332,2.6052213807526035,0.7983,-0.2739825819804661,0.3572,-0.3529411764705883
19.0,2.598995970556342,0.773,-0.20282581783105572,0.3572,-0.3529411764705883
19.041666666666664,2.5278392064069317,0.833,-0.209051228027317,0.3572,-0.3529411764705883
19.083333333333332,2.5278392064069317,0.7983,-0.209051228027317,0.3572,-0.17647058823529416
19.125,2.5278392064069317,0.7983,-0.209051228027317,0.3572,0.0
19.166666666666664,2.5278392064069317,0.7695,-0.209051228027317,0.3572,0.17647058823529416
19.208333333333332,2.598995970556342,0.833,-0.20282581783105572,0.404,0.3529411764705883
19.25,2.5278392064069317,0.7354,-0.209051228027317,0.3572,0.3529411764705883
19.291666666666664,2.598995970556342,0.7354,-0.20282581783105572,0.3572,0.17647058823529416
19.333333333333332,2.598995970556342,0.7354,-0.20282581783105572,0.3572,0.0
19.375,2.6052213807526035,0.7354,-0.2739825819804661,0.4165,0.0
19.416666666666664,2.598995970556342,0.7983,-0.20282581783105572,0.3572,0.0
19.458333333333332,2.5278392064069317,0.7983,-0.209051228027317,0.3572,0.0
19.5,2.6052213807526035,0.7983,-0.2739825819804661,0.3572,-0.17647058823529416
19.541666666666664,2.6052213807526035,0.7354,-0.2739825819804661,0.4165,0.0
19.583333333333332,2.598995970556342,0.7354,-0.20282581783105572,0.4165,0.0
